time_slot,n_visible,ids,x_m,y_m,range_m,angle_deg,blockage_xmin,blockage_xmax,n_blockage_cells,dt_s
229,2,"2,101","0.580,0.500","7.500,3.000","7.522,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","4.42,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
230,2,"2,101","0.600,0.500","7.500,3.000","7.524,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","4.57,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
231,2,"2,101","0.620,0.500","7.500,3.000","7.526,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","4.73,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
232,2,"2,101","0.640,0.500","7.500,3.000","7.527,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","4.88,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
233,2,"2,101","0.660,0.500","7.500,3.000","7.529,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","5.03,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
234,2,"2,101","0.680,0.500","7.500,3.000","7.531,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","5.18,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
235,2,"2,101","0.700,0.500","7.500,3.000","7.533,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","5.33,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
236,2,"2,101","0.720,0.500","7.500,3.000","7.534,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","5.48,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
237,2,"2,101","0.740,0.500","7.500,3.000","7.536,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","5.63,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
238,2,"2,101","0.760,0.500","7.500,3.000","7.538,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","5.79,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
239,2,"2,101","0.780,0.500","7.500,3.000","7.540,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","5.94,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
240,2,"2,101","0.800,0.500","7.500,3.000","7.543,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","6.09,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
241,2,"2,101","0.820,0.500","7.500,3.000","7.545,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","6.24,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
242,2,"2,101","0.840,0.500","7.500,3.000","7.547,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","6.39,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
243,2,"2,101","0.860,0.500","7.500,3.000","7.549,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","6.54,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
244,2,"2,101","0.880,0.500","7.500,3.000","7.551,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","6.69,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
245,2,"2,101","0.900,0.500","7.500,3.000","7.554,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","6.84,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
246,2,"2,101","0.920,0.500","7.500,3.000","7.556,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","6.99,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
247,2,"2,101","0.940,0.500","7.500,3.000","7.559,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","7.14,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
248,2,"2,101","0.960,0.500","7.500,3.000","7.561,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","7.29,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
249,2,"2,101","0.980,0.500","7.500,3.000","7.564,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","7.44,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
250,2,"2,101","1.000,0.500","7.500,3.000","7.566,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","7.59,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
251,2,"2,101","1.020,0.500","7.500,3.000","7.569,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","7.74,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
252,2,"2,101","1.040,0.500","7.500,3.000","7.572,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","7.89,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
253,2,"2,101","1.060,0.500","7.500,3.000","7.575,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","8.04,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
254,2,"2,101","1.080,0.500","7.500,3.000","7.577,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","8.19,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
255,2,"2,101","1.100,0.500","7.500,3.000","7.580,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","8.34,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
256,2,"2,101","1.120,0.500","7.500,3.000","7.583,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","8.49,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
257,2,"2,101","1.140,0.500","7.500,3.000","7.586,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","8.64,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
258,2,"2,101","1.160,0.500","7.500,3.000","7.589,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","8.79,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
259,2,"2,101","1.180,0.500","7.500,3.000","7.592,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","8.94,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
260,2,"2,101","1.200,0.500","7.500,3.000","7.595,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","9.09,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
261,2,"2,101","1.220,0.500","7.500,3.000","7.599,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","9.24,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
262,2,"2,101","1.240,0.500","7.500,3.000","7.602,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","9.39,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
263,2,"2,101","1.260,0.500","7.500,3.000","7.605,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","9.54,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
264,2,"2,101","1.280,0.500","7.500,3.000","7.608,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","9.69,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
265,2,"2,101","1.300,0.500","7.500,3.000","7.612,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","9.83,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
266,2,"2,101","1.320,0.500","7.500,3.000","7.615,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","9.98,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
267,2,"2,101","1.340,0.500","7.500,3.000","7.619,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","10.13,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
268,2,"2,101","1.360,0.500","7.500,3.000","7.622,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","10.28,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
269,2,"2,101","1.380,0.500","7.500,3.000","7.626,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","10.43,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
270,2,"2,101","1.400,0.500","7.500,3.000","7.630,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","10.57,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
271,2,"2,101","1.420,0.500","7.500,3.000","7.633,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","10.72,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
272,2,"2,101","1.440,0.500","7.500,3.000","7.637,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","10.87,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
273,2,"2,101","1.460,0.500","7.500,3.000","7.641,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","11.02,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
274,2,"2,101","1.480,0.500","7.500,3.000","7.645,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","11.16,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
275,2,"2,101","1.500,0.500","7.500,3.000","7.649,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","11.31,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
276,2,"2,101","1.520,0.500","7.500,3.000","7.652,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","11.46,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
277,2,"2,101","1.540,0.500","7.500,3.000","7.656,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","11.60,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
278,2,"2,101","1.560,0.500","7.500,3.000","7.661,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","11.75,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
279,2,"2,101","1.580,0.500","7.500,3.000","7.665,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","11.90,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
280,2,"2,101","1.600,0.500","7.500,3.000","7.669,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","12.04,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
281,2,"2,101","1.620,0.500","7.500,3.000","7.673,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","12.19,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
282,2,"2,101","1.640,0.500","7.500,3.000","7.677,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","12.33,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
283,2,"2,101","1.660,0.500","7.500,3.000","7.682,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","12.48,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
284,2,"2,101","1.680,0.500","7.500,3.000","7.686,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","12.63,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
285,2,"2,101","1.700,0.500","7.500,3.000","7.690,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","12.77,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
286,2,"2,101","1.720,0.500","7.500,3.000","7.695,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","12.92,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
287,2,"2,101","1.740,0.500","7.500,3.000","7.699,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","13.06,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
288,2,"2,101","1.760,0.500","7.500,3.000","7.704,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","13.21,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
289,2,"2,101","1.780,0.500","7.500,3.000","7.708,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","13.35,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
290,2,"2,101","1.800,0.500","7.500,3.000","7.713,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","13.50,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
291,2,"2,101","1.820,0.500","7.500,3.000","7.718,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","13.64,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
292,2,"2,101","1.840,0.500","7.500,3.000","7.722,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","13.78,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
293,2,"2,101","1.860,0.500","7.500,3.000","7.727,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","13.93,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
294,2,"2,101","1.880,0.500","7.500,3.000","7.732,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","14.07,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
295,2,"2,101","1.900,0.500","7.500,3.000","7.737,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","14.22,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
296,2,"2,101","1.920,0.500","7.500,3.000","7.742,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","14.36,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
297,2,"2,101","1.940,0.500","7.500,3.000","7.747,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","14.50,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
298,2,"2,101","1.960,0.500","7.500,3.000","7.752,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","14.65,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
299,2,"2,101","1.980,0.500","7.500,3.000","7.757,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","14.79,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
300,2,"2,101","2.000,0.500","7.500,3.000","7.762,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","14.93,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
301,2,"2,101","2.020,0.500","7.500,3.000","7.767,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","15.07,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
302,2,"2,101","2.040,0.500","7.500,3.000","7.772,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","15.22,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
303,1,101,0.500,3.000,"3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
304,1,101,0.500,3.000,"3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
305,1,101,0.500,3.000,"3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
306,1,101,0.500,3.000,"3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
307,1,101,0.500,3.000,"3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
308,1,101,0.500,3.000,"3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
309,1,101,0.500,3.000,"3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
310,1,101,0.500,3.000,"3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
311,1,101,0.500,3.000,"3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
312,1,101,0.500,3.000,"3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
313,1,101,0.500,3.000,"3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
314,1,101,0.500,3.000,"3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
315,1,101,0.500,3.000,"3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
316,1,101,0.500,3.000,"3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
317,1,101,0.500,3.000,"3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
318,1,101,0.500,3.000,"3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
319,1,101,0.500,3.000,"3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
320,1,101,0.500,3.000,"3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
321,1,101,0.500,3.000,"3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
322,1,101,0.500,3.000,"3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
323,1,101,0.500,3.000,"3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
324,1,101,0.500,3.000,"3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
325,1,101,0.500,3.000,"3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
326,1,101,0.500,3.000,"3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
327,1,101,0.500,3.000,"3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
328,1,101,0.500,3.000,"3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
329,1,101,0.500,3.000,"3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
330,1,101,0.500,3.000,"3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
331,1,101,0.500,3.000,"3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
332,1,101,0.500,3.000,"3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
333,1,101,0.500,3.000,"3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
334,1,101,0.500,3.000,"3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
335,1,101,0.500,3.000,"3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
336,1,101,0.500,3.000,"3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
337,1,101,0.500,3.000,"3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
338,1,101,0.500,3.000,"3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
339,1,101,0.500,3.000,"3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
340,1,101,0.500,3.000,"3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
341,1,101,0.500,3.000,"3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
342,1,101,0.500,3.000,"3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
343,1,101,0.500,3.000,"3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
344,1,101,0.500,3.000,"3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
345,1,101,0.500,3.000,"3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
346,1,101,0.500,3.000,"3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
347,1,101,0.500,3.000,"3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
348,1,101,0.500,3.000,"3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
349,1,101,0.500,3.000,"3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
350,1,101,0.500,3.000,"3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
351,1,101,0.500,3.000,"3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
352,1,101,0.500,3.000,"3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
